EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-11-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

01-05 STAID       : Station identifier
07-46 STATIONNAME : Station Name
48-87 COUNTRYNAME : Country Name
89-97 LAT         : Latitude in degrees:minutes:seconds (+:North, -:South)
99-109 LON        : Longitude in degrees:minutes:seconds (+:East, -:West)
111-115 HGT       : Station elevation in meters 

STAID,STATIONNAME                             ,COUNTRYNAME                             ,LAT      ,LON       ,HGT

1    ,VAEXJOE                                 ,SWEDEN                                  ,+56:52:00,+014:48:00, 166
2    ,FALUN                                   ,SWEDEN                                  ,+60:37:00,+015:37:00, 160
3    ,STENSELE                                ,SWEDEN                                  ,+65:04:00,+017:09:59, 325
4    ,LINKOEPING                              ,SWEDEN                                  ,+58:24:00,+015:31:59,  93
5    ,LINKOEPING-MALMSLAETT                   ,SWEDEN                                  ,+58:24:00,+015:31:59,  93
6    ,KARLSTAD                                ,SWEDEN                                  ,+59:21:00,+013:28:00,  46
7    ,KARLSTAD-AIRPORT                        ,SWEDEN                                  ,+59:26:40,+013:20:15, 107
8    ,OESTERSUND                              ,SWEDEN                                  ,+63:10:59,+014:28:59, 376
9    ,OESTERSUND-FROESOEN                     ,SWEDEN                                  ,+63:10:59,+014:28:59, 376
10   ,STOCKHOLM                               ,SWEDEN                                  ,+59:21:00,+018:03:00,  44
11   ,KREMSMUENSTER                           ,AUSTRIA                                 ,+48:03:00,+014:07:59, 383
12   ,GRAZ                                    ,AUSTRIA                                 ,+47:04:59,+015:27:00, 366
13   ,INNSBRUCK                               ,AUSTRIA                                 ,+47:16:00,+011:24:00, 577
14   ,SALZBURG                                ,AUSTRIA                                 ,+47:48:00,+013:00:00, 437
15   ,SONNBLICK                               ,AUSTRIA                                 ,+47:03:00,+012:57:00,3106
16   ,WIEN                                    ,AUSTRIA                                 ,+48:13:59,+016:21:00, 199
17   ,UCCLE                                   ,BELGIUM                                 ,+50:48:00,+004:21:59, 100
18   ,KNEJA                                   ,BULGARIA                                ,+43:30:00,+024:04:59, 116
19   ,OBRASZOV-CHIFLIK                        ,BULGARIA                                ,+43:48:00,+026:01:59, 156
20   ,SADOVO                                  ,BULGARIA                                ,+42:09:00,+024:57:00, 155
21   ,ZAGREB-GRIC                             ,CROATIA                                 ,+45:49:00,+015:58:41, 157
22   ,AMIANDOS                                ,CYPRUS                                  ,+34:55:59,+032:55:00,1360
23   ,LARNACA                                 ,CYPRUS                                  ,+34:52:59,+033:37:59,   1
24   ,LIMASSOL                                ,CYPRUS                                  ,+34:40:00,+033:02:59,   5
25   ,NICOSIA                                 ,CYPRUS                                  ,+35:10:00,+033:21:00, 160
26   ,POLIS                                   ,CYPRUS                                  ,+35:01:59,+032:25:59,  20
28   ,HELSINKI KAISANIEMI                     ,FINLAND                                 ,+60:10:30,+024:56:52,   4
29   ,JYVASKYLA LENTOASEMA                    ,FINLAND                                 ,+62:24:07,+025:40:42, 139
30   ,SODANKYLA. LAPIN ILMATIET. TUTK.KESKUS  ,FINLAND                                 ,+67:21:57,+026:37:59, 179
